"gender","ethnicity","birth","stark","star1","star2","star3","readk","read1","read2","read3","mathk","math1","math2","math3","lunchk","lunch1","lunch2","lunch3","schoolk","school1","school2","school3","degreek","degree1","degree2","degree3","ladderk","ladder1","ladder2","ladder3","experiencek","experience1","experience2","experience3","tethnicityk","tethnicity1","tethnicity2","tethnicity3","systemk","system1","system2","system3","schoolidk","schoolid1","schoolid2","schoolid3"
"female","cauc",1980 Q2,,,,"regular+aide",,,,680,,,,603,,,,"free",,,,"rural",,,,"bachelor",,,,"level1",,,,17,,,,"cauc",,,,"14",,,,"38"
"male","cauc",1980 Q1,"regular","regular","regular","regular",430,490,622,633,473,567,615,645,"non-free","non-free","non-free","non-free","rural","rural","rural","rural","master","bachelor","bachelor","bachelor","level1","level1","level3","level1",13,19,14,3,"cauc","cauc","cauc","cauc","14","14","14","14","38","38","38","38"
"male","cauc",1980 Q3,"regular+aide","regular+aide","regular+aide","regular+aide",437,503,552,578,468,512,574,554,"non-free","non-free","non-free","non-free","rural","rural","rural","rural","master","bachelor","bachelor","bachelor","level1","level3","level1","level3",6,16,8,12,"cauc","cauc","cauc","cauc","35","35","35","35","69","69","69","69"
"female","afam",1980 Q1,"regular",,,"regular",,,,661,,,,631,"free",,,"free","inner-city",,,"suburban","bachelor",,,,,,,,9,,,,"afam",,,,"11",,,"11","28",,,"23"
"female","cauc",1979 Q2,,"small","small","small",,548,,639,,532,,626,,"free",,"free",,"urban","rural","rural",,"master","bachelor","master",,"level1","level2","level1",,15,33,12,,"cauc","cauc","cauc",,"7","42","42",,"10","80","80"
"male","cauc",1980 Q1,"small","small","small","small",474,629,659,728,559,584,632,684,"non-free","free","non-free","non-free","suburban","suburban","suburban","suburban","bachelor","master","bachelor","bachelor","probation","notladder","level1","level1",0,16,10,6,"cauc","cauc","cauc","cauc","18","18","18","18","43","43","43","43"
"male","cauc",1980 Q1,"small","small","small","small",424,519,559,606,494,512,590,597,"non-free","free",,"non-free","rural","rural","rural","rural","bachelor","master","bachelor","master","level1","level1","level1","level3",6,6,4,13,"cauc","cauc","cauc","cauc","36","36","36","36","71","71","71","71"
"male","cauc",1979 Q3,"regular+aide","regular+aide","regular","regular",490,571,586,631,528,572,561,589,"non-free","non-free","non-free","non-free","suburban","suburban","suburban","suburban","bachelor","master","bachelor","bachelor","level1","level1","level1","notladder",18,13,9,15,"cauc","cauc","cauc","afam","22","22","22","22","52","52","52","52"
"male","cauc",1980 Q3,"regular",,,,439,,,,484,,,,"non-free",,,,"suburban",,,,"master",,,,"level1",,,,13,,,,"cauc",,,,"22",,,,"54",,,
"female","cauc",1979 Q4,"regular+aide",,,,424,,,,459,,,,"free",,,,"rural",,,,"bachelor",,,,"level1",,,,12,,,,"cauc",,,,"9",,,,"12",,,
"female","afam",1980 Q3,"regular","regular","regular",,437,503,559,,528,497,543,,"free","free","free",,"suburban","suburban","suburban",,"bachelor","master","bachelor",,"apprentice","level1","level1",,1,23,10,,"afam","cauc","afam",,"11","11","11",,"21","21","21",
"female","cauc",1979 Q1,,"regular","regular","regular",,503,566,565,,538,552,580,,"free","free","free",,"rural","rural","rural",,"master","master","bachelor",,"level1","level1","level1",,42,15,9,,"cauc","cauc","cauc",,"30","30","30",,"63","63","63"
"female","cauc",1980 Q2,"small","small","small","small",422,544,643,647,478,502,568,610,"non-free","non-free","non-free","non-free","rural","rural","rural","rural","master","master","bachelor","bachelor","level1","level1","level1","apprentice",8,14,6,2,"cauc","cauc","cauc","cauc","40","40","40","40","76","77","77","77"
"male","cauc",1979 Q4,"regular","small","small","small",424,501,577,622,559,545,593,691,"free","non-free","free","non-free","rural","rural","rural","rural","bachelor","master","bachelor","master","level1","level1","level1","level1",13,16,18,12,"cauc","cauc","cauc","cauc","41","41","41","41","79","79","79","79"
"male","cauc",1979 Q3,,"regular+aide","regular+aide",,,521,,,,557,,,,"non-free",,,,"urban","urban",,,"master","bachelor",,,"level1","notladder",,,8,17,,,"cauc","cauc",,,"6","6",,,"9","9",
"male","cauc",1980 Q2,"regular","regular",,,,477,,,,484,,,"non-free","non-free",,,"rural","rural",,,"bachelor","bachelor",,,,"apprentice",,,5,2,,,"cauc","cauc",,,"1","1",,,"1","1",,
"female","cauc",1979 Q2,,,"regular","regular",,,481,536,,,500,546,,,"free",,,,"rural","rural",,,"master","bachelor",,,"level1","probation",,,19,0,,,"cauc","cauc",,,"10","10",,,"13","13"
"male","cauc",1980 Q2,"regular",,,,431,,,,454,,,,"non-free",,,,"rural",,,,"master",,,,"level1",,,,13,,,,"cauc",,,,"6",,,,"8",,,
"male","afam",1980 Q1,,,"regular","regular",,,596,608,,,620,672,,,"free","free",,,"inner-city","inner-city",,,"bachelor","bachelor",,,"notladder","level1",,,40,5,,,"afam","afam",,,"11","11",,,"29","29"
"female","afam",,,,,"regular+aide",,,,,,,,,,,,"free",,,,"inner-city",,,,"bachelor",,,,"probation",,,,2,,,,"cauc",,,,"11",,,,"29"
"male","cauc",1980 Q1,"regular+aide","regular+aide",,,451,439,,,473,463,,,"non-free","free",,,"rural","rural",,,"bachelor","bachelor",,,"level1","level1",,,3,8,,,"cauc","cauc",,,"32","32",,,"66","66",,
"male","cauc",1980 Q1,"small","small","small","small",456,492,549,580,602,515,587,614,"free","non-free","non-free","free","urban","urban","urban","urban","master","bachelor","master","bachelor","level1","level1","level1","level1",14,5,9,13,"cauc","cauc","afam","cauc","26","26","26","26","59","59","59","59"
"male","cauc",1979 Q2,,"regular+aide","regular+aide","small",,521,542,612,,502,530,549,,"free","free","free",,"urban","urban","urban",,"master","master","bachelor",,"level1","level1","level1",,15,20,14,,"cauc","cauc","cauc",,"27","27","27",,"60","60","60"
"female","cauc",1980 Q1,,,"regular+aide","regular+aide",,,568,588,,,548,582,,,"non-free","non-free",,,"suburban","suburban",,,"master","master",,,"level1","level1",,,21,32,,,"cauc","cauc",,,"22","22",,,"51","51"
"female","afam",1980 Q2,"regular+aide",,,,421,,,,459,,,,"free",,,,"inner-city",,,,"bachelor",,,,"level1",,,,11,,,,"cauc",,,,"11",,,,"31",,,
"male","afam",1980 Q2,"regular+aide","regular","regular+aide","regular",463,478,582,622,576,567,611,642,"free","free","free","free","inner-city","inner-city","inner-city","inner-city","bachelor","bachelor","bachelor","master","level1","probation","level1","level3",10,5,35,14,"afam","cauc","afam","cauc","11","11","11","11","27","27","27","27"
"female","afam",1980 Q1,"regular+aide","regular","regular",,425,457,,,520,510,,,"non-free","free","free",,"suburban","suburban","suburban",,"bachelor","bachelor","bachelor",,"level1","level1","notladder",,8,16,12,,"afam","cauc","cauc",,"11","11","11",,"17","17","17",
"female","cauc",1979 Q4,"regular","regular+aide","regular+aide","regular+aide",522,651,669,675,559,627,659,700,"non-free","non-free","non-free","non-free","urban","urban","urban","urban","bachelor","master","master","master","level1","level1","level1","level1",8,8,19,16,"cauc","cauc","cauc","cauc","6","6","6","6","9","9","9","9"
"female","cauc",1980 Q2,"regular+aide","regular","regular","regular",413,553,611,610,459,553,603,642,"non-free","non-free","non-free","non-free","rural","rural","rural","rural","master","bachelor","master","master","level1","level1","apprentice","level1",5,12,1,18,"cauc","cauc","cauc","cauc","15","15","15","15","39","39","39","39"
"male","cauc",1980 Q3,"regular","small",,,416,536,,,513,578,,,"non-free","non-free",,,"rural","rural",,,"master","master",,,"level1","level1",,,13,11,,,"cauc","cauc",,,"23","23",,,"55","55",,
"male","afam",1980 Q2,,,"regular",,,,555,,,,611,,,,"free",,,,"inner-city",,,,"bachelor",,,,"probation",,,,2,,,,"cauc",,,,"11",,,,"33",
"male","afam",1980 Q1,,"regular+aide","regular+aide","regular+aide",,499,577,612,,481,577,614,,"free","free","free",,"inner-city","inner-city","inner-city",,"bachelor","bachelor","bachelor",,"notladder","level1","level1",,36,31,18,,"afam","afam","afam",,"11","11","11",,"33","33","33"
"female","cauc",1979 Q1,,"small",,,,457,,,,449,,,,"non-free",,,,"suburban",,,,"bachelor",,,,"notladder",,,,23,,,,"cauc",,,,"22",,,,"51",,
"female","afam",1980 Q4,"regular",,,,419,,,,423,,,,"free",,,,"inner-city",,,,"bachelor",,,,"probation",,,,0,,,,"afam",,,,"11",,,,"27",,,
"female","cauc",1980 Q3,"regular+aide",,,,431,,,,494,,,,"non-free",,,,"suburban",,,,"bachelor",,,,"level1",,,,3,,,,"cauc",,,,"25",,,,"58",,,
"female","cauc",1978 Q1,,"regular+aide","regular+aide","regular+aide",,,,,,500,,543,,"free","free","free",,"rural","rural","rural",,"bachelor","master","specialist",,"level1","level1","level2",,13,11,16,,"cauc","cauc","cauc",,"35","35","35",,"70","70","70"
"male","afam",1979 Q3,,,"regular+aide","regular+aide",,,539,531,,,533,562,,,"free","free",,,"inner-city","inner-city",,,"master","master",,,"level1","level2",,,13,13,,,"cauc","afam",,,"11","11",,,"26","26"
"female","cauc",1979 Q3,,,,"regular+aide",,,,608,,,,672,,,,"non-free",,,,"rural",,,,"master",,,,"level1",,,,36,,,,"cauc",,,,"38",,,,"74"
"male","cauc",1980 Q3,"small","regular","regular","regular",418,475,526,577,439,497,522,585,"non-free","free","free","free","rural","rural","rural","rural","bachelor","bachelor","bachelor","master","level1","notladder","notladder","level1",8,12,13,8,"cauc","cauc","cauc","cauc","21","21","21","21","49","50","50","50"
"female","afam",1980 Q1,"regular",,,,422,,,,434,,,,"free",,,,"rural",,,,"master",,,,"level1",,,,15,,,,"cauc",,,,"5",,,,"7",,,
"male","afam",1980 Q3,,"regular","regular",,,460,515,,,493,525,,,"non-free","non-free",,,"suburban","suburban",,,"bachelor","bachelor",,,"apprentice","level3",,,2,22,,,"cauc","cauc",,,"11","11",,,"23","23",
"female","afam",1980 Q1,"small","small","small","small",414,509,588,590,434,497,517,582,"free","free","non-free","non-free","rural","rural","rural","rural","bachelor","bachelor","bachelor","master","level1","level1","level1","level1",8,7,15,13,"cauc","cauc","cauc","cauc","4","4","4","4","5","5","5","5"
"male","afam",1980 Q2,,"regular+aide",,,,466,,,,493,,,,"free",,,,"inner-city",,,,"bachelor",,,,"apprentice",,,,1,,,,"afam",,,,"11",,,,"29",,
"male","cauc",1980 Q3,,,"regular+aide","regular+aide",,,,572,,,,599,,,"non-free","free",,,"urban","urban",,,"master","master",,,"level1","level1",,,19,16,,,"cauc","cauc",,,"6","6",,,"9","9"
"male","afam",1979 Q4,"regular+aide","regular",,,433,454,,,454,458,,,"free","free",,,"urban","urban",,,"bachelor","bachelor",,,,"apprentice",,,11,1,,,"cauc","cauc",,,"13","13",,,"37","37",,
"male","cauc",1979 Q1,,"small",,,,544,,,,572,,,,"non-free",,,,"rural",,,,"bachelor",,,,"notladder",,,,6,,,,"cauc",,,,"21",,,,"50",,
"female","afam",1980 Q3,,,,"regular",,,,,,,,,,,,"free",,,,"suburban",,,,"bachelor",,,,"level1",,,,8,,,,"afam",,,,"11",,,,"25"
"female","afam",1980 Q1,,"regular",,,,519,,,,523,,,,"free",,,,"rural",,,,"bachelor",,,,"level1",,,,5,,,,"cauc",,,,"34",,,,"68",,
"male","afam",1979 Q3,,,"regular+aide",,,,503,,,,515,,,,"free",,,,"inner-city",,,,"master",,,,"level3",,,,16,,,,"cauc",,,,"11",,,,"16",
"female","cauc",1980 Q1,"regular","small","small",,450,,,,484,510,,,"non-free","non-free","non-free",,"rural","rural","rural",,"bachelor","master","master",,"level1","level1","level3",,10,12,14,,"cauc","cauc","cauc",,"35","35","35",,"70","70","70",
"female","cauc",1980 Q1,"small","small","small","small",458,521,596,606,559,542,572,582,"free","free","free","free","rural","rural","rural","rural","bachelor","bachelor","bachelor","bachelor","level1","notladder","level1","level1",4,27,10,4,"cauc","cauc","cauc","cauc","16","16","16","16","40","40","40","40"
"female","cauc",1980 Q2,"small","small","small","small",445,553,579,624,459,526,557,589,"non-free","free","free","free","urban","urban","urban","urban","master","bachelor","bachelor","bachelor","level1","level1","level1","level1",7,18,22,8,"cauc","cauc","cauc","cauc","6","6","6","6","9","9","9","9"
"female","cauc",1979 Q4,,,"small","small",,,577,629,,,545,599,,,"free","free",,,"urban","urban",,,"master","bachelor",,,"apprentice","level1",,,23,9,,,"cauc","cauc",,,"6","6",,,"9","9"
"male","cauc",1980 Q1,"small","small",,,439,451,,,506,538,,,"non-free","free",,,"urban","urban",,,"master","master",,,"level1","level1",,,17,14,,,"cauc","cauc",,,"20","20",,,"48","48",,
"male","cauc",1979 Q3,"small","small","small","small",476,564,637,686,576,601,620,700,"non-free","non-free","non-free","non-free","urban","urban","urban","urban","master+","master","master","bachelor","level1","level1","level1","level1",12,15,14,36,"cauc","cauc","cauc","cauc","7","7","7","7","10","10","10","10"
"male","afam",1979 Q4,,"regular","regular","regular",,530,555,675,,567,615,608,,"free","free","free",,"inner-city","inner-city","inner-city",,"bachelor","bachelor","bachelor",,"probation","apprentice","apprentice",,0,1,3,,"afam","cauc","cauc",,"18","18","18",,"45","45","45"
"female","cauc",1980 Q2,,"small",,,,590,,,,592,,,,"non-free",,,,"rural",,,,"master",,,,"apprentice",,,,1,,,,"cauc",,,,"31",,,,"64",,
"female","cauc",1980 Q4,"regular","regular","regular","regular",467,604,659,686,484,567,626,663,"non-free","non-free","non-free","non-free","rural","rural","rural","rural","master","bachelor","bachelor","master","level1","apprentice","probation","level1",4,2,2,13,"cauc","cauc","cauc","cauc","42","42","42","42","80","80","80","80"
"male","cauc",1979 Q4,,,,"regular",,,,606,,,,591,,,,"non-free",,,,"rural",,,,"bachelor",,,,"level1",,,,9,,,,"cauc",,,,"30",,,,"63"
"male","cauc",1980 Q3,,,,"regular",,,,,,,,,,,,"non-free",,,,"urban",,,,"master",,,,"level1",,,,7,,,,"cauc",,,,"26",,,,"59"
"female","afam",1979 Q4,"regular+aide","regular+aide","regular+aide","regular+aide",416,454,,624,434,510,,601,"free","free","free","free","inner-city","inner-city","inner-city","inner-city","master","bachelor","master","master","level1","apprentice","notladder","notladder",10,5,13,3,"afam","cauc","cauc","afam","11","11","11","11","28","28","28","28"
"male","cauc",1980 Q2,"small",,,"small",480,,,657,528,,,663,"non-free",,,"non-free","suburban",,,"suburban","bachelor",,,"bachelor","probation",,,"level1",0,,,5,"cauc",,,"cauc","18",,,"18","43",,,"43"
"female","cauc",1979 Q4,,,"regular+aide",,,,618,,,,639,,,,"free",,,,"rural",,,,"master",,,,"level1",,,,15,,,,"cauc",,,,"40",,,,"77",
"male","cauc",1979 Q2,,,,"regular+aide",,,,593,,,,604,,,,"free",,,,"rural",,,,"master",,,,"level2",,,,10,,,,"cauc",,,,"15",,,,"39"
"female","cauc",1980 Q3,"regular+aide",,,,437,,,,478,,,,"non-free",,,,"suburban",,,,"bachelor",,,,"level1",,,,16,,,,"cauc",,,,"17",,,,"41",,,
"male","afam",1978 Q4,,,,"regular+aide",,,,602,,,,567,,,,"free",,,,"inner-city",,,,"master",,,,"notladder",,,,25,,,,"cauc",,,,"11",,,,"15"
"male","cauc",1980 Q1,"small","small","small","small",465,590,650,665,602,612,699,726,"non-free","non-free","non-free","non-free","suburban","suburban","suburban","suburban","master","bachelor","master","bachelor","level1","level1","apprentice","level1",18,18,15,5,"cauc","cauc","afam","cauc","17","17","17","17","41","41","41","41"
"male","cauc",1979 Q3,,"regular","regular","regular",,604,611,639,,538,563,624,,"non-free","free","non-free",,"rural","rural","rural",,"bachelor","bachelor","master",,"level1","level1","level1",,7,8,8,,"cauc","cauc","cauc",,"21","21","21",,"50","50","50"
"female","afam",1979 Q4,,"regular","regular","regular+aide",,492,526,573,,490,504,556,,"non-free","free","non-free",,"inner-city","inner-city","inner-city",,"bachelor","bachelor","master",,"apprentice","level1","level2",,1,12,14,,"cauc","afam","afam",,"11","11","11",,"22","22","22"
"male","afam",1980 Q1,,,,"regular",,,,614,,,,603,,,,"free",,,,"suburban",,,,"bachelor",,,,"level1",,,,10,,,,"afam",,,,"11",,,,"23"
"female","cauc",1979 Q4,"small","small","small",,407,460,499,,439,510,492,,"free","free","free",,"rural","rural","rural",,"bachelor","bachelor","master",,"level1","apprentice","level2",,4,2,28,,"cauc","cauc","cauc",,"16","16","16",,"40","40","40",
"female","afam",1980 Q2,"regular","regular","regular+aide","small",487,509,579,633,547,526,620,634,"non-free","non-free","non-free","free","inner-city","inner-city","inner-city","inner-city","bachelor","bachelor","bachelor","master","level1","probation","level1","level2",12,5,35,9,"afam","cauc","afam","afam","11","11","11","11","27","27","27","27"
"male","cauc",1980 Q2,"regular+aide","regular",,,425,516,,,489,578,,,"non-free","non-free",,,"suburban","suburban",,,"master","master",,,"level1","level1",,,8,10,,,"cauc","cauc",,,"28","28",,,"61","61",,
"female","cauc",1980 Q2,"small","small","small","small",447,487,560,560,500,497,528,585,"non-free","non-free","non-free","non-free","suburban","suburban","suburban","suburban","master","bachelor","bachelor","bachelor","level1","level1","level1","notladder",14,4,25,21,"afam","cauc","afam","cauc","11","11","11","11","21","21","21","21"
"male","cauc",1979 Q4,,,"regular","regular",,,549,585,,,572,596,,,"non-free","non-free",,,"rural","rural",,,"master","bachelor",,,"level1","level1",,,11,19,,,"cauc","cauc",,,"39","39",,,"75","75"
"female","cauc",1980 Q3,"small","small","small","small",430,590,622,647,468,542,577,614,"non-free","non-free","non-free","non-free","rural","rural","rural","rural","master","bachelor","master","bachelor","level1","level1","level1","level1",13,6,17,10,"cauc","cauc","cauc","cauc","6","6","6","6","8","8","8","8"
"female","cauc",1980 Q2,"small",,,,,,,,444,,,,"non-free",,,,"suburban",,,,"bachelor",,,,,,,,15,,,,"cauc",,,,"18",,,,"43",,,
"male","cauc",1980 Q2,,"regular+aide",,,,540,,,,526,,,,"non-free",,,,"urban",,,,"bachelor",,,,"notladder",,,,0,,,,"cauc",,,,"20",,,,"48",,
"female","cauc",1980 Q3,,"regular+aide",,,,442,,,,472,,,,"free",,,,"urban",,,,"bachelor",,,,"level1",,,,7,,,,"afam",,,,"2",,,,"2",,
"female","afam",1979 Q4,"small",,,,,,,,,,,,"free",,,,"inner-city",,,,"bachelor",,,,,,,,2,,,,"cauc",,,,"11",,,,"28",,,
"male","cauc",1979 Q2,,,"regular","regular",,,515,,,,500,,,,"non-free",,,,"urban","urban",,,"master","master",,,"level1","level3",,,15,16,,,"cauc","cauc",,,"6","6",,,"9","9"
"female","cauc",1980 Q1,"small",,,,480,,,,547,,,,"non-free",,,,"suburban",,,,"master",,,,"level1",,,,14,,,,"afam",,,,"11",,,,"21",,,
"female","cauc",1979 Q4,,,"regular+aide","regular+aide",,,591,610,,,582,622,,,"non-free","free",,,"urban","urban",,,"master","master",,,"level1","level1",,,19,16,,,"cauc","cauc",,,"6","6",,,"9","9"
"female",,1980 Q3,,,"small",,,,,,,,,,,,"free",,,,"rural",,,,"bachelor",,,,"level1",,,,8,,,,"cauc",,,,"1",,,,"1",
"female","hispanic",1979 Q4,,,"regular+aide",,,,,,,,,,,,"free",,,,"rural",,,,"master",,,,"level1",,,,27,,,,"cauc",,,,"33",,,,"67",
"male","cauc",1980 Q1,,"regular",,"regular",,590,,620,,512,,601,,"non-free",,"non-free",,"rural",,"rural",,"bachelor",,"bachelor",,"level1",,"level1",,23,,21,,"cauc",,"cauc",,"3",,"3",,"3",,"3"
"female","cauc",1979 Q4,"regular","regular+aide","regular+aide","regular",440,604,643,633,513,545,570,596,"non-free","non-free","non-free","non-free","rural","rural","rural","rural","master","bachelor","bachelor","bachelor","level1","apprentice","notladder","apprentice",5,2,19,1,"cauc","cauc","cauc","cauc","19","19","19","19","47","47","47","47"
"female","cauc",1978 Q1,,"regular",,,,445,,,,474,,,,"free",,,,"urban",,,,"bachelor",,,,"level1",,,,5,,,,"cauc",,,,"2",,,,"2",,
"female","afam",1979 Q4,,,,"regular+aide",,,,616,,,,596,,,,"free",,,,"inner-city",,,,"master",,,,"level2",,,,13,,,,"afam",,,,"11",,,,"26"
"male","cauc",1980 Q2,,,,"small",,,,,,,,,,,,"non-free",,,,"rural",,,,"master",,,,"level1",,,,12,,,,"cauc",,,,"41",,,,"79"
"male","afam",1980 Q2,"regular+aide","regular+aide","regular+aide","regular+aide",410,475,547,562,405,495,535,582,"non-free","free","free","free","rural","rural","rural","rural","bachelor","bachelor","bachelor","master","level1","level1","notladder","level1",13,16,4,14,"cauc","cauc","afam","cauc","8","8","8","8","11","11","11","11"
"male","afam",1979 Q3,"small",,,,,,,,288,,,,"free",,,,"inner-city",,,,"bachelor",,,,"level1",,,,3,,,,"afam",,,,"11",,,,"22",,,
"female","cauc",1980 Q1,"small","small","regular+aide","regular+aide",413,533,588,644,506,578,587,663,"non-free","non-free","non-free","non-free","rural","rural","rural","rural","master","master","master","master","level1","level1","level1","level1",5,11,8,16,"cauc","cauc","cauc","cauc","12","12","12","12","35","35","34","34"
"female","afam",1980 Q3,"regular",,"regular+aide",,422,,542,,513,,512,,"free",,"free",,"suburban",,"inner-city",,"bachelor",,"master",,"apprentice",,"level3",,1,,16,,"afam",,"cauc",,"11",,"11",,"21",,"16",
"female","afam",1980 Q3,"small","small","small","small",442,629,631,654,559,627,626,678,"non-free","non-free","non-free","non-free","suburban","suburban","suburban","suburban","bachelor","master",,"master","apprentice","level3",,"level1",5,23,,24,"afam","afam",,"afam","11","11","11","11","24","24","24","24"
"male","cauc",1980 Q1,,,,"regular",,,,,,,,,,,,"free",,,,"rural",,,,"master",,,,"level1",,,,18,,,,"cauc",,,,"15",,,,"39"
"female","cauc",1980 Q2,,,"regular","regular",,,566,606,,,574,612,,,"free","free",,,"urban","urban",,,"master","master",,,"level1","level1",,,8,15,,,"cauc","cauc",,,"2","2",,,"2","2"
